職缺名稱,公司,需求人數,職位類別,工作待遇,工作技能,學歷要求,地點,經歷要求,工作內容
應用系統開發工程師,第一金證券股份有限公司,1人,"MIS程式設計師
、軟體工程師
、系統分析師",待遇面議,不拘,大學,台北市中山區,3年,"1.經紀業務相關需求規劃處理
2.洗錢防制相關需求處理
3.流程自動化相關需求處理
4.資產風控系統維運及需求處理"
QA 自動化軟體測試專員,新加坡商海宇顧問服務有限公司台灣分公司,2~4人,"測試人員
、軟體工程師
、軟韌體測試工程師","月薪40,000~60,000元",功能測試(function test)、安全性測試(Security test)、使用者測試(Usability test)、問題追蹤處理(Bug tracking)、軟體整合測試、測試環境建置規劃,大學,台北市信義區,3年,"1. 與軟體開發團隊合作，討論驗證軟體產品的驗證流程。
2. 透過嚴格的測試程序來辨識軟體漏洞。
3. 制定軟體測試的構想和執行測試的程序。
4. 檢查軟體錯誤並舉出有問題的區域。
5. 編寫程式碼，提升測試軟體的自動化流程。
6. 解決軟體問題並制定最終確定市場軟體系統的程序。
7. 針對軟體品質問題提出解決方案。
8. 製作品質測試的檢測報告。
9. 與相關團隊協調解決應用程式的弱點。
10. 檢查使用者故事和功能需求。
11. 建立並設定可以運行測試案例和場景的測試環境。
12. 參與QA流程、工具和支援技術的創建、實施和管理。

Responsibilities
1. Collaborate with the software development team to discuss verification processes for validating software products.
2. Identify software vulnerabilities through rigorous testing procedures.
3. Develop ideas for software testing and the procedures to perform tests.
4. Review software bugs and highlight the areas that are of issue.
5. Write programming codes to improve the automation process of testing software.
6. Troubleshoot software issues and craft procedures for finalizing software systems for the market.
7. Propose solutions to software issues in regard to quality.
8. Create test reports of quality testing.
9. Coordinating with the relevant team to solve the weaknesses of the application.
10. Examine the user stories and functional requirements.
11. Create and set up testing environments in which test cases and scenarios can be run.
12. Participate in the creation, implementation, and management of QA processes, tools, and supporting technology."
[Cedars]Full-Stack Engineer,光寶科技股份有限公司,1人,全端工程師,"年薪600,000~1,600,000元",不拘,大學,台北市內湖區,3年,"職務內容
1. 負責全端系統開發，包括後端 API 設計與前端使用者介面實作。
2. 參與產品需求討論，與團隊共同規劃技術實現方案。
3. 使用 Nest.js 進行後端開發，確保高效能與擴展性。
4. 使用 React 開發前端應用，熟悉 Next.js 者尤佳。
5. 與團隊合作進行敏捷式開發，參與 Scrum 會議與規劃。
6. 與資料庫密切合作，進行基本資料庫操作與性能調校。

必要條件
1. 熟悉後端開發框架 Nest.js，並具有相關開發經驗。
2. 熟悉前端開發框架 React，具備 Next.js 使用經驗尤佳。
3. 熟悉基本資料庫操作 (如 PostgreSQL、NoSQL)。
4. 曾參與過 Scrum 或其他敏捷式開發模式，了解其流程與方法。
5. 具備良好的問題解決能力與溝通能力，能與跨部門團隊緊密合作。

加分條件
1. 熟悉 Flutter 或 Android App 開發。
2. 有實作跨平台應用程式的經驗。
3. 熟悉前後端效能調校技巧，對 Web 優化有深入了解。"
程式設計人員(總公司),新光三越百貨股份有限公司,1~2人,"營運管理師／系統整合／ERP專案師
、軟體專案管理師
、Internet程式設計師","月薪32,000~39,000元",不拘,大學,台北市信義區,不拘,"1.對應其他部門專案需求，產出系統需求文件。
2.需參與系統程式開發、對應系統操作問題及異常排除。
  (1)程式碼撰寫、系統測試、上線與維運階段的問題回應與處理。
  (2)具備HTML、Javascript、AJAX...等網頁開發經驗（具CSS開發經驗尤佳）。
  (3)具備ASP.NET MVC、C# 開發經驗。 
  (4)具備SQL Server 技能知識。
3.主管交辦事宜"
C#軟體工程師(集團總公司彰化大村辦公室),信星鞋業_英屬維京群島商伯星國際股份有限公司台灣分公司,不限,軟體工程師,待遇面議,不拘,專科,彰化縣大村鄉,3年,"1. 配合公司的ERP需求，與相關單位討論並提出可執行的方式，並學習現有ERP相關需求調整與異常處理。
2. EIP電子表單簽核流程維護，學習如何將完整的流程表單撰寫出來。
3. 使用者問題分析與回饋。
4. 協助專案評估及開發進度的追蹤。

附加條件：
1.熟悉ASP.NET網頁框架、JavaScript/CSS/HTML語言基本操作尤佳。
2.熟悉資料庫語言和工具，如：MYSQL、MSSQL等, 有實務開發經驗尤佳。
3.三年以上相關工作經驗。
4.可配合出差尤佳。"
【IT】資深系統工程師,宏碁雲架構服務股份有限公司,1人,"系統工程師
、MIS程式設計師",待遇面議,不拘,大學,台北市南港區,4年,"宏碁雲架構服務股份有限公司主要提供企業專業的電子化資訊管理服務，除已整合機房、系統、網路、資安之維運管理能力外，隨著雲端服務隨取即用的需求及巨量資料各種應用的崛起，宏碁雲架構也持續自行開發了各種服務解決方案，主要業務範疇包含機房建置與實體設施維運、災難備援、雲端服務及雲端安全等服務。

因應業務成長需求，規劃聘僱人員工作職務如下：
1. 二線系統工程師：負責IT專案技術架構規劃，撰寫專案建議書、技術相關文件。
2. 執行專案建置、協助客戶技術諮詢。
3. 協同客戶日常設定、故障排除…等。
4. 超融合系統規劃建置、技術支援。
5. 新技術研究、導入、教育訓練規劃。"
8L新光人壽-(資深)檔案規劃專員,新光人壽保險股份有限公司_總公司,1人,"行政人員
、資料庫管理人員","月薪37,000元以上",不拘,大學,台北市松山區,2年,"1.確實監督並規劃各部室檔案資料建檔，以協助各部室空間運用。
2.確實規劃各行政部檔案空間需求，並協調相關單位配合，以利各行政部行政業務推展。
3.確實掌管各檔案室檔案資料，並不定期檢查，以確保資料完整安全。
4.確實辦理各單位檔案資料總檢，以達到檔案空間有效利用。
5.回覆各單位光碟影像調閲作業之相關問題及執行委外掃瞄工作室管理作業，以維護個資安全。"
5L新光人壽-軟體設計師 (投資、資產負債、財務、會計帳務)(有相關經驗、證照者從優核敘),新光人壽保險股份有限公司_總公司,不限,"軟體工程師
、Internet程式設計師
、MIS程式設計師",待遇面議,不拘,專科,台北市松山區,不拘,"1.開發財務、投資、資產負債相關系統程式，(EX:投資前中後台、投資帳務處理、放款、會計資訊系統…等)。 
2.系統維護、除錯及修改。  
3.執行單元測試、整合測試，維護系統文件。  
4.有SAP、MVC架構、TFS、GIT版控等相關經驗佳。  
5.具參與軟體開發案經驗，熟悉CMMI/PMP專案開發模式佳。
6.具有系統分析、系統設計經驗尤佳。"
系統保證工程師 (高雄),立承系統科技股份有限公司,1人,"可靠度工程師
、系統分析師",待遇面議,執行產品可靠度測試與問題分析,大學,高雄市前鎮區,不拘,"1. 系統危險分析報告
2. RAMS: 可靠度、可用度和維修度預估分析
3. FMEA失效模式影響及嚴重性分析報告
4. 捷運機電工程通訊系統RAMS相關文件發展，包含但不限於危險分析及風險評估
5. 主管交辦事項"
PHP 資深 工程師,昀揚科技股份有限公司,1~2人,軟體工程師,待遇面議,不拘,專科,新北市三重區,不拘,"【專業需求概述】 
1.團隊合作。 
2.專案開發、後續更新、維護等工作。 
3.具備良好跨部門溝通與合作經驗。 
4. 擁有物件導向技術經驗。 
5. 開發環境需於 Linux 。 

【技術要求】 
1. 熟 PHP 
2. 熟 MYSQL
3. 熟 VUE 2.0 3.0 框架
4. 熟 CSS / BOOSTRAP / HTML / JAVASCRIPT 

【加分條件】 
1.PHP開發經驗7年以上。 
2.Linux開發經驗7年以上 

【人格特質】 
1.個性開朗、具備抗壓性。 
2.有獨立分析問題和解決問題的能力。 
3.具備良好的開發文件書寫習慣，喜歡解決各種PHP開發疑難雜症及瀏覽原始碼習慣。 
4.學習能力及執行力強。 
5.重視團隊合作。 "
網路資料庫軟體工程師,宗展股份有限公司,1人,"Internet程式設計師
、軟體工程師","月薪35,000元以上",不拘,不拘,台北市大同區,不拘,"1. 從事網際網路系統軟硬體與程式語言的開發、測試及安裝 

2. 網站上線後的維護與功能更新 

3. 後端網頁系統開發  

4. 資料庫程式開發  

5. 平台系統架構規劃及設計

歡迎
所有求職者
二度就業
應屆畢業生
…等"
G240024-Physical Design CAD Engineer,創意電子股份有限公司,1人,"數位IC設計工程師
、軟體工程師",待遇面議,不拘,碩士,新竹市,3年,"※ Job Contents:
1. Responsible for physical design flow development including APR, IR, CTS, timing closure methodology development, flow automation
2. APR and physical verification flow/scripts/environment development for advanced process nodes and 2.5D/3D-IC
3. Project support/execution & collaboration with EDA vendors

※ Requirements:
1. Experience in APR, IR analysis, timing analysis, or physical verification DRC/LVS 
2. Experience in physical design project execution
3. Familiar with Cadence Innovus or Synopsys ICC2/FC, RC extraction, timing analysis
4. Knowledge with script and programming (TCL/Perl/...) skills
5. Better to have 40/28/16nm IC design experiences"
